Instancia,N,Vars,Cons,Tiempo,Gap,Obj,Bound
ftv33.atsp,34,1190,1159,0.6686410903930664,0.0,1286.0,1286.0
ftv35.atsp,36,1332,1299,0.5871500968933105,0.0,1473.0,1473.0
ftv38.atsp,39,1560,1524,0.6736700534820557,0.0,1530.0,1530.0
ftv44.atsp,45,2070,2028,0.6909773349761963,0.0,1613.0,1613.0
ftv55.atsp,56,3192,3139,2.368722915649414,0.0,1608.0,1608.0
ftv64.atsp,65,4290,4228,8.088906526565552,0.0,1839.0,1839.0
ftv70.atsp,71,5112,5044,10.595828771591187,0.0,1950.0,1950.0
ftv170.atsp,171,29412,29244,27.087623834609985,0.0,2755.0,2755.0
rbg358.atsp,358,128522,128167,207.03457927703857,0.0,1163.0,1163.0
rbg403.atsp,403,162812,162412,319.25169110298157,0.0,2465.0,2465.0
