Instancia,N,Gurobi_Vars,Gurobi_Cons,Gurobi_Time,Gurobi_Gap,Gurobi_Obj,Gurobi_Bound
ftv33.atsp,34,1190,1125,0.5482039451599121,0.0,1286.0,1286.0
ftv35.atsp,36,1332,1263,0.9898545742034912,0.0,1473.0,1473.0
ftv38.atsp,39,1560,1485,0.7811312675476074,0.0,1530.0,1530.0
ftv44.atsp,45,2070,1983,0.6617147922515869,0.0,1613.0,1613.0
ftv55.atsp,56,3192,3083,1.03725004196167,0.0,1608.0,1608.0
ftv64.atsp,65,4290,4163,3.4344899654388428,0.0,1839.0,1839.0
ftv70.atsp,71,5112,4973,1.937434434890747,0.0,1950.0,1950.0
ftv170.atsp,171,29412,29073,6.6850481033325195,0.0,2755.0,2755.0
rbg358.atsp,358,128522,127809,11.536670446395874,0.0,1163.0,1163.0
rbg403.atsp,403,162812,162009,34.29034447669983,0.0,2465.0,2465.0
