Instancia,N,CPLEX_Vars,CPLEX_Cons,CPLEX_Time,CPLEX_Gap,CPLEX_Obj,CPLEX_Bound
ftv33.atsp,34,1190,1158,0.3960998058319092,0.0,1286.0,1286.0
ftv35.atsp,36,1332,1298,0.59409499168396,0.0,1473.0,1473.0
ftv38.atsp,39,1560,1523,0.3745005130767822,0.0,1530.0,1530.0
ftv44.atsp,45,2070,2027,0.7166578769683838,0.0,1613.0,1613.0
ftv55.atsp,56,3192,3138,1.7134368419647217,0.0,1608.0,1608.0
ftv64.atsp,65,4290,4227,5.853191137313843,0.0,1839.0,1839.0
ftv70.atsp,71,5112,5043,6.677638292312622,0.0,1950.0000000000032,1950.0000000000032
ftv170.atsp,171,29412,29243,40.92913842201233,0.0,2755.0,2755.0
rbg358.atsp,358,128522,128166,184.58147168159485,0.0,1163.0,1163.0
rbg403.atsp,403,162812,162411,106.80326628684998,0.0,2465.0,2465.0
