Instancia,N,Gurobi_Vars,Gurobi_Cons,Gurobi_Time,Gurobi_Gap,Gurobi_Obj,Gurobi_Bound,CPLEX_Vars,CPLEX_Cons,CPLEX_Time,CPLEX_Gap,CPLEX_Obj,CPLEX_Bound
ftv33.atsp,34,1190,1158,0.5056493282318115,0.0,1286.0,1286.0,,,,,,
ftv35.atsp,36,1332,1298,0.9333224296569824,0.0,1473.0,1473.0,,,,,,
ftv38.atsp,39,1560,1523,0.7395622730255127,0.0,1530.0,1530.0,,,,,,
ftv44.atsp,45,2070,2027,0.6803426742553711,0.0,1613.0,1613.0,,,,,,
ftv55.atsp,56,3192,3138,0.9762246608734131,0.0,1608.0,1608.0,,,,,,
ftv64.atsp,65,4290,4227,2.66707181930542,0.0,1839.0,1839.0,,,,,,
ftv70.atsp,71,5112,5043,2.0724151134490967,0.0,1950.0,1950.0,,,,,,
ftv170.atsp,171,29412,29243,6.181094408035278,0.0,2755.0,2755.0,,,,,,
rbg358.atsp,358,128522,128166,11.642579555511475,0.0,1163.0,1163.0,,,,,,
rbg403.atsp,403,162812,162411,34.54322338104248,0.0,2465.0,2465.0,,,,,,
